file,left mean err,left max error,right mean err,right max err
1_99,0.43436631442939033,2.040419843898111,0.48310244449083584,2.2385227715281335
1_119,0.9559279990358063,6.535336060137341,0.9849094289806117,7.547129182914879
2_59,0.3877360587207974,0.8348206851035856,0.3730284267516872,0.7002168132563558
2_72,0.36877963645031125,0.6663206000474728,0.4220965111633885,1.9030577572968468
2_116,0.38999347348898533,0.6849339199133405,0.43063807212465194,6.089103038519733
2_149,0.7228056867579246,4.330525624551841,1.1166466764068326,7.760443036421561
2_159,0.5068895752955851,3.7104501951473865,0.6133723838377008,6.492526670820892
2_174,0.5119801485022719,4.276141461609926,0.6472915560757407,5.535887676087146
2_187,0.4982848202115189,4.2909648836120535,0.6199710735823785,7.48007468418631
2_209,0.37858320985530186,1.1028438257980984,0.3977306954066645,0.9901232275001502
Failed
